station_code,station_category,station_name,latitude,longitude,altitude_m,is_active
AJHELT01,meteorological,Heltermaa,58.864191,23.043736,3.73,true
AJJOGE01,meteorological,Jõgeva,58.749833,26.415097,70.29,true
AJJOHV01,meteorological,Jõhvi,59.32906,27.398325,72.68,true
AJKIHN01,meteorological,Kihnu,58.098628,23.970191,2.68,true
AJKUND01,meteorological,Kunda,59.517778,26.545278,1.0,true
AJKUUS01,meteorological,Kuusiku,58.973889,24.725556,51.5,true
AJNIGU01,meteorological,Lääne-Nigula,58.951082,23.815659,23.86,true
AJNARV01,meteorological,Narva,59.389444,28.114167,28.5,true
AJPAKR01,meteorological,Pakri,59.355278,24.050833,12.5,true
AJPARN01,meteorological,Pärnu,58.381389,24.499444,3.0,true
AJRIST01,meteorological,Ristna,58.920956,22.066307,6.86,true
AJROOM01,meteorological,Roomassaare,58.218022,22.506341,1.21,true
AJRUHN01,meteorological,Ruhnu,57.7833,23.2589,1.77,true
AJSORV01,meteorological,Sõrve,57.913576,22.057918,2.7,true
AJHARK01,meteorological,Tallinn-Harku,59.398122,24.60287,33.16,true
AJTART01,meteorological,Tartu-Tõravere,58.2641,26.4613,70.17,true
AJTIIR01,meteorological,Tiirikoja,58.8654,26.9521,32.59,true
AJTOOM01,meteorological,Tooma,58.8727,26.2728,88.99,true
AJTURI01,meteorological,Türi,58.8087,25.4092,60.2,true
AJVALG01,meteorological,Valga,57.787778,26.032778,65.0,true
AJVILJ01,meteorological,Viljandi,58.377812,25.600162,86.33,true
AJVILS01,meteorological,Vilsandi,58.382783,21.814233,5.73,true
AJVIRT01,meteorological,Virtsu,58.572686,23.513571,2.37,true
AJVORU01,meteorological,Võru,57.8463,27.0195,82.15,true
AJV-MA01,meteorological,Väike-Maarja,59.141354,26.230736,120.7,true
