station_code,station_name,station_category,is_active
41137,Aesoo,monitoring,true
41061,Ahja,monitoring,true
41163,Alajõe,monitoring,true
41080,Arbavere,monitoring,true
41183,Audru,monitoring,true
41159,Elu,monitoring,true
41058,Elva,monitoring,true
41103,Hüüru,monitoring,true
41174,Kaansoo,monitoring,true
41112,Kasari,monitoring,true
41087,Kehra,monitoring,true
41107,Keila,monitoring,true
41192,Kirumpää,monitoring,true
41157,Kloostrimetsa,monitoring,true
41116,Konuvere,monitoring,true
41015,Korela,monitoring,true
41063,Kääpa,monitoring,true
41197,Laadi,monitoring,true
41154,Luguse,monitoring,true
41074,Lüganuse,monitoring,true
41200,Narva karjäär,monitoring,true
41010,Narva linn,monitoring,true
41198,Nurme,monitoring,true
41127,Oore,monitoring,true
41097,Pajupea,monitoring,true
41175,Pajusi,monitoring,true
41085,Pudisoo,monitoring,true
41131,Põhjaka I,monitoring,true
41132,Põhjaka II,monitoring,true
41022,Rannu-Jõesuu,monitoring,true
41184,Reola,monitoring,true
41140,Riisa,monitoring,true
41065,Roostoja,monitoring,true
41019,Räpina,monitoring,true
41202,Separa,monitoring,true
41077,Sämi,monitoring,true
41125,Särevere,monitoring,true
41195,Taheva,monitoring,true
41126,Tahkuse,monitoring,true
41025,Tartu,monitoring,true
41199,Tarvastu,monitoring,true
41193,Toila-Oru,monitoring,true
41133,Tori,monitoring,true
41066,Tudulinna,monitoring,true
41067,Tõlliste,monitoring,true
41069,Tõrva,monitoring,true
41028,Tõrve,monitoring,true
41070,Tänassilma,monitoring,true
41156,Uue-Lõve,monitoring,true
41117,Valgu,monitoring,true
41082,Vanaküla,monitoring,true
41201,Varangu,monitoring,true
41001,Vasknarva,monitoring,true
41110,Vihterpalu,monitoring,true
41128,Vodja,monitoring,true
41905,Kulgu sadam,water_level,true
41203,Kuningaküla,water_level,true
41920,Mehikoorma,water_level,true
41925,Mustvee,water_level,true
41922,Praaga,water_level,true
41191,Roosisaare,water_level,true
86101,Dirhami,coastal,true
86110,Haapsalu,coastal,true
26120,Heltermaa,coastal,true
86031,Häädemeeste,coastal,true
26045,Kunda,coastal,true
86087,Loksa,coastal,true
86120,Mõntu,coastal,true
41801,Narva-Jõesuu,coastal,true
86100,Paldiski,coastal,true
86094,Pirita,coastal,true
41803,Pärnu,coastal,true
26115,Ristna,coastal,true
26215,Roomassaare,coastal,true
26227,Ruhnu,coastal,true
26128,Virtsu,coastal,true
